Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted tissue (ODiseA)	Human affected cell types	Mouse similar affected cell types
618835	Combined Oxidative Phosphorylation Deficiency 40	617209	QRSL1	Qrsl1	1	1	PS609060	Combined oxidative phosphorylation deficiency	1	1	Yes		
618838	Combined Oxidative Phosphorylation Deficiency 41	603645	GATB	Gatb	1	1	PS609060	Combined oxidative phosphorylation deficiency	1	0			
618839	Combined Oxidative Phosphorylation Deficiency 42	617210	GATC	Gatc	1	1	PS609060	Combined oxidative phosphorylation deficiency	1	1	Yes		
618849	Bone Marrow Failure Syndrome 6	602704	MDM4	Mdm4	1	1	PS614675	Bone marrow failure syndrome	1	1	Yes		
618852	Autoinflammation With Episodic Fever And Lymphadenopathy	603453	RIPK1	Ripk1	1	1			1	1	Yes	['nk.cell']	
618858	"Diabetes Mellitus, Permanent Neonatal 4"	176730	INS	Ins2	1	1	PS606176	"Diabetes mellitus, permanent neonatal"	0	0			
618882	Imerslund-grasbeck Syndrome 2	605799	AMN	Amn	1	1	PS261100	Imerslund-Grasbeck syndrome	0	0			
618885	"Congenital Disorder Of Glycosylation, Type Iit"	602274	GALNT2	Galnt2	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	No		
618886	Pseudo-torch Syndrome 3	600556	STAT2	Stat2	1	1	PS251290	Pseudo-TORCH syndrome	1	1	Yes		
618892	Harderoporphyria	612732	CPOX	Cpox	1	1			1	1	Yes	"['erythrocyte', 'erythroid.progenitor']"	['proerythroblast']
618935	"Chronic Granulomatous Disease 5, Autosomal Recessive"	618334	CYBC1	Cybc1	1	1	PS306400	"Granulomatous disease, chronic"	1	0			
618944	"Hyper-ige Recurrent Infection Syndrome 5, Autosomal Recessive"	147880	IL6R	Il6ra	1	1	PS147060	Hyper-IgE recurrent infection syndrome	1	1	Yes		
618947	Arthrogryposis Multiplex Congenita 5	605204	TOR1A	Tor1a	1	1	PS617468	Arthrogryposis multiplex congenita	1	1	No		
618963	"Immunodeficiency 69, Mycobacteriosis"	147570	IFNG	Ifng	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618969	Immunodeficiency 70	609209	IVNS1ABP	Ivns1abp	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618972	Mitochondrial Dna Depletion Syndrome 19	606794	SLC25A10	Slc25a10	1	1	PS603041	Mitochondrial DNA depletion syndrome	0	1	Yes	['nk.cell']	
618982	Immunodeficiency 72 With Autoinflammation	141180	NCKAP1L	Nckap1l	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618986	Immunodeficiency 73b With Defective Neutrophil Chemotaxis And Lymphopenia	602049	RAC2	Rac2	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618987	Immunodeficiency 73c With Defective Neutrophil Chemotaxis And Hypogammaglobulinemia	602049	RAC2	Rac2	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618999	"Autoinflammation, Immune Dysregulation, And Eosinophilia"	147795	JAK1	Jak1	1	1			1	1	Yes	['nk.cell']	['T.cell']
619004	Deeah Syndrome	603584	MADD	Madd	1	1			1	1	Yes	['nk.cell']	
619005	"Neurodevelopmental Disorder With Dysmorphic Facies, Impaired Speech And Hypotonia"	603584	MADD	Madd	1	1			1	1	No		
619013	Rajab Interstitial Lung Disease With Brain Calcifications 2	602918	FARSA	Farsa	1	1	PS613658	Rajab interstitial lung disease with brain calcifications	1	1	NA	['erythroid.progenitor']	
619041	Monosomy 7 Myelodysplasia And Leukemia Syndrome 2	610456	SAMD9		1	1	PS252270	Monosomy 7 myelodysplasia and leukemia syndrome	1	0		['cd24.neutrophil']	"['band.form.neutrophil', 'segmented.neutrophil.of.bone.marrow']"
619046	"Mitochondrial Complex Iv Deficiency, Nuclear Type 3"	602125	COX10	Cox10	1	1	PS220110	"Mitochondrial complex IV deficiency, nuclear-type"	1	1	Yes	['nk.cell']	
619055	"Mitochondrial Complex Iv Deficiency, Nuclear Type 12"	614770	PET100	Pet100	1	1	PS220110	"Mitochondrial complex IV deficiency, nuclear-type"	1	0		['nk.cell']	
619087	Noonan Syndrome 13	176948	MAPK1	Mapk1	1	1	PS163950	Noonan syndrome	1	1	Yes		
619096	Mismatch Repair Cancer Syndrome 2	609309	MSH2	Msh2	1	1	PS276300	Mismatch repair cancer syndrome	1	1	Yes		
619097	Mismatch Repair Cancer Syndrome 3	600678	MSH6	Msh6	1	1	PS276300	Mismatch repair cancer syndrome	1	1	Yes		
619101	Mismatch Repair Cancer Syndrome 4	600259	PMS2	Pms2	1	1	PS276300	Mismatch repair cancer syndrome	1	1	Yes		
619115	Combined Osteogenesis Imperfecta And Ehlers-danlos Syndrome 1	120150	COL1A1	Col1a1	1	1	PS619115	Combined osteogenesis imperfecta and Ehlers-Danlos syndrome	0	0			
619120	Combined Osteogenesis Imperfecta And Ehlers-danlos Syndrome 2	120160	COL1A2	Col1a2	1	1	PS619115	Combined osteogenesis imperfecta and Ehlers-Danlos syndrome	0	0			
619126	Immunodeficiency 75	612839	TET2	Tet2	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
619127	Mandibuloacral Dysplasia Progeroid Syndrome	608555	MTX2	Mtx2	1	1			1	1	No		
619130	"Thrombocytopenia, Autosomal Dominant, 7"	606238	IKZF5	Ikzf5	1	1	PS313900	Thrombocytopenia	1	1	Yes		
